sys_enter_clock_nanosleep,sys_enter_close,sys_enter_epoll_pwait,sys_enter_epoll_wait,sys_enter_fcntl,sys_enter_futex,sys_enter_getegid,sys_enter_geteuid,sys_enter_getrandom,sys_enter_getuid,sys_enter_ioctl,sys_enter_lseek,sys_enter_madvise,sys_enter_mmap,sys_enter_mprotect,sys_enter_nanosleep,sys_enter_newfstat,sys_enter_newfstatat,sys_enter_openat,sys_enter_poll,sys_enter_prctl,sys_enter_pwrite64,sys_enter_read,sys_enter_readlink,sys_enter_recvmsg,sys_enter_rt_sigaction,sys_enter_sendmsg,sys_enter_splice,sys_enter_write,sys_enter_writev,label
2.0,1487.0,337.0,74.0,218.0,1939.0,167.0,169.0,278.0,228.0,47.0,19.0,34.0,328.0,135.0,434.0,1222.0,825.0,1496.0,389.0,275.0,0.0,1341.0,241.0,29.0,394.0,11.0,0.0,286.0,5.0,1
0.0,1087.0,263.0,69.0,199.0,1562.0,166.0,167.0,208.0,190.0,40.0,2.0,13.0,216.0,109.0,468.0,885.0,565.0,1104.0,310.0,268.0,0.0,1092.0,234.0,23.0,385.0,5.0,0.0,256.0,5.0,1
0.0,1476.0,298.0,116.0,212.0,1482.0,247.0,248.0,292.0,283.0,48.0,2.0,5.0,220.0,110.0,419.0,1231.0,865.0,1546.0,371.0,349.0,0.0,1431.0,333.0,83.0,385.0,64.0,0.0,294.0,9.0,1
0.0,2621.0,530.0,158.0,442.0,2529.0,334.0,336.0,580.0,364.0,49.0,6.0,12.0,438.0,282.0,744.0,2157.0,1152.0,2648.0,608.0,543.0,2.0,2204.0,476.0,128.0,770.0,63.0,0.0,533.0,10.0,1
0.0,1364.0,324.0,87.0,210.0,8552.0,170.0,171.0,276.0,200.0,60.0,2.0,5.0,221.0,110.0,404.0,1141.0,606.0,1385.0,350.0,273.0,0.0,1224.0,238.0,43.0,385.0,17.0,0.0,285.0,9.0,1
0.0,1343.0,283.0,100.0,197.0,1530.0,166.0,167.0,277.0,190.0,44.0,2.0,6.0,218.0,110.0,433.0,1105.0,559.0,1359.0,380.0,269.0,0.0,1183.0,238.0,50.0,385.0,35.0,0.0,289.0,9.0,1
0.0,1371.0,331.0,79.0,199.0,1790.0,167.0,168.0,277.0,209.0,32.0,2.0,92.0,223.0,108.0,480.0,1118.0,728.0,1429.0,392.0,271.0,0.0,1203.0,273.0,28.0,385.0,15.0,0.0,278.0,5.0,1
0.0,1355.0,273.0,85.0,197.0,2007.0,166.0,167.0,276.0,202.0,44.0,2.0,56.0,219.0,112.0,385.0,1117.0,650.0,1372.0,393.0,270.0,0.0,1205.0,238.0,11.0,385.0,5.0,0.0,284.0,9.0,1
0.0,1356.0,289.0,71.0,210.0,1500.0,171.0,172.0,276.0,195.0,39.0,2.0,5.0,216.0,108.0,386.0,1136.0,603.0,1381.0,328.0,273.0,0.0,1200.0,238.0,23.0,385.0,10.0,0.0,264.0,5.0,1
0.0,2623.0,625.0,128.0,399.0,2270.0,337.0,339.0,552.0,361.0,47.0,4.0,25.0,434.0,218.0,834.0,2183.0,1056.0,2662.0,414.0,542.0,0.0,2156.0,476.0,38.0,770.0,18.0,0.0,466.0,10.0,1
